CifId,GroundTruth,Predicted,Prob
ABAVIJ_clean,1.0,1,0.99919456
ABAYIO_clean,1.0,1,0.9915842
ABESUX_clean,1.0,1,0.9999864
ABETAE_clean,1.0,1,0.9999828
ABEXEM_clean,0.0,0,0.0005330564
ABEXIQ_clean,0.0,0,0.00032213875
ABEXOW_clean,0.0,0,0.0019801622
ABEYAJ_clean,0.0,0,0.00085876626
ABEYEN_clean,0.0,0,0.00014540063
ACAJOF_clean,0.0,0,0.20113066
ACODON_clean,0.0,0,0.008950559
ADODII_clean,1.0,1,0.9972218
ADODOO_clean,1.0,1,0.9988157
ADODUU_clean,1.0,1,0.9993517
ADOGEH_clean,0.0,1,0.5720064
ADUWIH_clean,0.0,0,0.09644291
AFENEE_clean,1.0,1,0.9918801
AFOYAW_clean,1.0,1,0.99628496
AFOYIE_clean,1.0,1,0.99244744
AGARUW_clean,1.0,1,0.9963832
AGUTUS_clean,0.0,0,0.45975462
AHOBEG_clean,1.0,1,0.99890697
AHOKAJ_clean,0.0,0,7.3929914e-05
AHOKIR_clean,1.0,1,0.99929893
AHOKOX_clean,1.0,1,0.99296474
AJUNOK_clean,1.0,1,0.9431755
AKEDIF_clean,0.0,0,0.008703197
ALIXOJ_clean,1.0,1,0.9893201
ALIXUP_clean,1.0,1,0.9998743
AMILOY_clean,1.0,1,0.9899705
AMILUE_clean,1.0,1,0.99695
AMIMEP_clean,1.0,1,0.99699587
ANOMUM_clean,1.0,1,0.99901
ANONAT_manual,1.0,1,0.99987674
ANUGEW_clean,0.0,0,0.06809559
ANUGOG_clean,0.0,0,0.011258502
AQALOU_clean,1.0,1,0.99437237
ARAHIM02_clean,1.0,1,0.99960005
ARUCOH01_clean,0.0,0,0.051572796
ARUCUN_clean,0.0,0,0.009249247
ARUDAU_clean,0.0,0,0.005687578
ASACON_clean,0.0,0,0.0025552104
ASADAA_clean,0.0,0,0.008977322
ASAJOU_clean,1.0,1,0.9992614
ASECUY_clean,1.0,1,0.9435787
ASINAT_clean,0.0,0,0.18523604
ASINEX_clean,0.0,0,0.0010488402
ASINIB_clean,0.0,0,0.00053898204
ASIVAB_clean,0.0,0,0.04282182
ATIBAG_clean,1.0,1,0.9998835
ATIBIO_clean,1.0,1,0.999908
ATIBOU_clean,1.0,1,0.99983907
ATIBUA_clean,1.0,1,0.9998775
ATICEL_clean,1.0,1,0.99980885
ATOGEV_clean,0.0,0,0.0022131002
ATOWIQ_clean,1.0,1,0.9976751
ATOWOW_clean,1.0,1,0.982395
AVELUJ_clean,1.0,1,0.99933565
AVEMAQ_clean,1.0,1,0.9995883
AVESAW_clean,1.0,1,0.9757418
AVUPIR_SL,0.0,0,0.0006840357
AWAJIT_clean,1.0,1,0.9987175
AWAWUR_clean,0.0,0,0.20266864
AWIBAL_clean,0.0,0,0.0027553344
AWUPAL_clean,0.0,0,0.36362317
AXUHAD_clean,1.0,1,0.99995565
AYOQEM_clean,1.0,1,0.9999693
AZAVOO_clean,1.0,0,0.3597716
AZAVUU_clean,1.0,1,0.56218386
AZILEA_clean,1.0,1,0.9993864
BAKGIF_manual,1.0,1,0.9991229
BAKJEE_clean,1.0,1,0.95485574
BAKJII_clean,1.0,1,0.9712477
BAXFIR01_clean,0.0,0,0.00013018063
BAXFIR02_clean,0.0,0,0.00015537017
BAXFUD_clean,0.0,0,0.000113703776
BAXSIE_clean,1.0,1,0.69252855
BEDYEQ_clean,1.0,1,0.9997701
BEFKUU_clean,1.0,1,0.998792
BEFLAB01_clean,1.0,1,0.99916327
BEFLEF_clean,1.0,1,0.99822813
BEFLIJ_clean,1.0,1,0.9963201
BEFLUV_clean,1.0,1,0.99851435
BEFMAC_clean,1.0,1,0.9957686
BEFMOQ_clean,1.0,1,0.9975533
BEFNAD_clean,1.0,1,0.9978448
BEFNEH_clean,1.0,1,0.9991644
BEFNIL_clean,1.0,1,0.9968147
BEFNUX_clean,1.0,1,0.9994199
BEJZAS_clean,0.0,0,0.0010915401
BELYIC_clean,1.0,1,0.9898371
BEPVAV_clean,1.0,1,0.99187756
BEPVEZ_clean,1.0,1,0.9974477
BETGEO_clean,1.0,1,0.9999497
BETGUE_clean,1.0,1,0.99992824
BETHEP_clean,1.0,1,0.9955516
BETHIT_clean,1.0,1,0.9989119
BEXSAA_clean,1.0,1,0.99983156
BEXSEE_clean,1.0,1,0.9999355
BEXSII_clean,1.0,1,0.99981266
BEXVEH_clean,1.0,1,0.9999637
BEYKEX_clean,1.0,1,0.99883276
BEYSEF_clean,1.0,1,0.9999594
BICPUA_clean,1.0,1,0.99751943
BINROH_clean,1.0,1,0.9048502
BINRUN_clean,1.0,1,0.9810092
BINSAU_clean,1.0,1,0.97724885
BIPSUQ_clean,1.0,1,0.99959654
BIRMUM_clean,1.0,1,0.92163056
BIRSEC_clean,1.0,1,0.9970235
BIRSIG_clean,1.0,1,0.99797106
BIYSUZ_clean,0.0,0,0.001381304
BIYTAG_clean,0.0,0,0.0024166512
BIYVIQ_clean,0.0,0,0.0014479345
BIZMEE_clean,0.0,0,2.0994587e-05
BIZMII_clean,0.0,0,2.2409897e-05
BOCTEU01_clean,0.0,0,3.12097e-05
BOCTOE01_clean,0.0,0,2.1753438e-05
BOCTOE02_clean,0.0,0,2.1758979e-05
BOCTOE03_clean,0.0,0,2.1773592e-05
BOCTOE04_clean,0.0,0,2.1989134e-05
BOCTOE05_clean,0.0,0,2.2056909e-05
BOCTOE_clean,0.0,0,2.1774817e-05
BONWAD_clean,1.0,1,0.9981604
BOPHEV_clean,1.0,1,0.9566535
BOPHIZ_clean,1.0,1,0.9964583
BOPWIO_clean,1.0,1,0.9368359
BOTLED_clean,1.0,1,0.99608016
BUCVIG_clean,0.0,0,0.074676976
BURQIQ_clean,1.0,1,0.9767813
BUSGIG_clean,1.0,1,0.99973696
BUSGOM_clean,1.0,1,0.99937165
BUVHEH_clean,1.0,1,0.9990784
CAJHUS_clean,1.0,1,0.9999931
CAKXET_clean,0.0,0,0.0011208128
CAKXIX_clean,0.0,0,0.00040319178
CAKXOD_clean,0.0,0,0.0011362124
CAKXUJ_clean,0.0,0,0.023127995
CAKYAQ_clean,0.0,0,0.00061996764
CAKYEU_clean,0.0,0,0.0028670814
