CifId,GroundTruth,Predicted,Error
WALKAY_clean,125.67784,272.97156,147.29372
HUNCUQ_clean,164.369,303.12552,138.75652
ENESOH_clean,587.3612,453.0603,134.3009
UWUTIQ_clean,513.3946,389.06952,124.32507
NAJSUP_clean,324.04703,442.50586,118.45883
VUKTOM_clean,524.94476,407.5492,117.39557
NAHDIM_clean,523.48267,407.3114,116.171265
ENESUN_clean,585.19696,469.37048,115.82648
NAJTAW_clean,304.36993,419.65326,115.283325
PEZCII_clean,328.4003,440.2075,111.80719
EPISOM_clean,132.66179,242.63791,109.97612
MUGQAI_clean,521.2427,411.47336,109.76932
KIRKAZ_clean,201.12712,309.10257,107.97545
LETDEU_clean,585.81165,483.26196,102.54968
HAWWEK_clean,418.72458,316.88614,101.83844
EYACOX_clean,567.3078,466.55457,100.753235
UJUPUM_clean,178.70647,279.34875,100.64229
EZUCIM_clean,202.29175,302.05695,99.7652
EQERIC_clean,639.1312,539.4088,99.72241
SUWQEI_clean,489.95334,390.47766,99.47568
HIDBIH_clean,481.6639,384.95966,96.704254
WEMNEJ_clean,229.5602,325.97675,96.41655
FESBEM_clean,519.0973,424.7224,94.37488
ULASAD_clean,169.59886,262.58777,92.98891
QETSOY_clean,514.72986,421.95264,92.77722
LADQEP_clean,538.26025,445.8704,92.38986
XOMCOT_clean,465.03964,373.1875,91.85214
ZEDHIB_clean,210.25974,301.90134,91.6416
AJUNOK_clean,468.22244,376.9416,91.28085
VUKJUI_clean,494.97998,404.01077,90.96921
ETEKAQ_clean,280.93713,190.00677,90.93036
VOCQEJ_clean,198.74373,289.43384,90.69011
LUSHOX04_clean,517.5704,427.62726,89.943115
VOPHUF_clean,259.7205,349.45282,89.73233
DUBBEI_clean,268.7077,356.65186,87.94415
NIYZIG_clean,140.31627,228.069,87.75273
PEQWAK_clean,490.55264,403.49146,87.06119
XICYAL_clean,459.33154,372.56653,86.765015
ROYRII_clean,159.46327,246.1228,86.65953
YINDOQ_clean,267.01022,352.35962,85.349396
OXAPEJ_charged,238.36238,323.64206,85.27968
XUVQOW_clean,232.96265,317.54358,84.58093
POKGEC_clean,431.02942,347.08185,83.94757
YOMVIG_clean,551.027,467.22437,83.80261
OXALOP_clean,478.3407,394.68964,83.65106
OHIHET_clean,215.83975,299.23584,83.39609
WURKEB_clean,491.32547,408.06558,83.25989
ESEHIV_clean,452.7734,369.8663,82.907104
GOMRAC_clean,531.01,448.37573,82.63428
QUQFIS_clean,509.95633,427.49692,82.45941
HOWROC_clean,551.34607,469.25546,82.09061
HUYKAN_clean,135.43958,217.25887,81.81929
DUDKEU_clean,295.1509,376.8973,81.7464
DILXED_clean,490.8544,409.4437,81.410706
AFOTOF_clean,565.2491,484.1136,81.1355
DIMKER_clean,502.59927,421.66284,80.93643
KAVTEI_clean,444.0434,363.77814,80.26526
CUYVOI_clean,239.10808,319.29034,80.18227
TATPOV_clean,500.45502,421.00516,79.44986
CUKVUA_clean,173.96246,253.2734,79.31094
SEQTEP_clean,463.80096,385.37033,78.43063
AMODUC_clean,587.9626,509.58783,78.374756
FAHPOV_clean,283.48306,361.56543,78.08237
CAVVUS_clean,447.34912,369.36383,77.98529
SANGUM_clean,514.124,436.2973,77.82672
JUSHAI_clean,238.53455,316.1484,77.61386
VITZEF_clean,328.3919,405.96176,77.569855
XAFXOT_clean,455.0495,377.55054,77.49896
OCUSIP_clean,479.70245,402.28082,77.42163
AFITEP_clean,207.59415,284.9657,77.37155
IBUBAL_clean,261.48538,338.70264,77.217255
RESWUI02_clean,584.7024,507.86972,76.83267
GIYSEN_clean,199.9383,276.65375,76.715454
FOWTOC_clean,426.03815,349.89725,76.1409
SANGEW_clean,529.3363,453.61212,75.72418
BUGSIG_clean,410.43445,334.87204,75.56241
AVELUJ_clean,213.37778,288.35056,74.97278
GOMREG_clean,526.021,451.18848,74.83252
DAWBIO_clean,204.5885,279.4037,74.815186
SIRZUQ_clean,468.9895,394.2961,74.69339
KIGCEK_clean,176.43178,251.08548,74.6537
COQLAX_clean,411.37872,337.1548,74.22394
YASNAJ_clean,234.45628,308.53473,74.078445
IKOSOQ_clean,220.0202,293.7136,73.69339
BEXSAA_clean,281.5573,355.10077,73.54346
QOHYET_clean,509.68735,436.20908,73.47827
VULFIT_clean,324.5452,397.77954,73.234344
COWREN_clean,438.15393,365.16772,72.986206
NAQQON_clean,591.8612,519.5563,72.30493
ALUJEX_clean,521.42865,449.6542,71.774445
QUVFAP_clean,217.81264,289.49182,71.679184
QEYWUN_clean,256.32938,327.21317,70.88379
COWMOR_clean,502.48398,431.9908,70.493164
DUDZOT_clean,292.48654,362.93152,70.44498
POHCOG_clean,229.65129,299.90878,70.25749
GAJYUN_clean,261.85028,332.02176,70.17148
REWSUJ_clean,241.06892,310.36554,69.296616
FILYEG_clean,286.64297,355.8143,69.171326
HISJIE_clean,304.64288,373.6905,69.04761
EBUREA_clean,467.13528,399.56018,67.5751
MEJZOS_clean,469.5238,402.24408,67.279724
AJINOY_clean,224.22122,291.27893,67.05771
KEJBOQ_clean_h,188.18152,255.05386,66.872345
EMOSOP_clean,332.30893,265.58813,66.720795
NERVOV_clean,296.14682,362.68497,66.53815
RAYLAG_clean,431.99802,365.50775,66.490265
PELQII_clean,380.7528,314.2856,66.46719
GITVEL01_clean,305.80994,372.21133,66.4014
ENOSAD_clean,488.69217,423.04422,65.64795
TURFET_clean,221.1003,286.3727,65.272415
GITVEL_clean,305.80994,371.05286,65.24292
VULFOZ_clean,288.42212,353.55124,65.12912
EBELUU_clean,233.16844,298.17447,65.00603
YASPEP_clean,221.69028,286.65204,64.96176
MUMYAW_clean,604.14856,539.238,64.91058
QARTAG_clean,289.23337,354.02423,64.79086
KIFKEQ_clean,626.17334,561.691,64.48236
NERVEL_clean,292.63504,357.1088,64.473755
SETDUS_clean,190.37625,254.82262,64.446365
RIBTAZ_clean,164.05518,227.85977,63.804596
LAFFEG02_clean,252.04842,315.7926,63.744186
LEVLEF_clean,79.90134,143.55673,63.655396
BAKYOE_clean,188.79826,252.28793,63.48967
IJEXIF_clean,339.99948,403.44812,63.44864
MONWET_clean,210.553,273.94977,63.396774
LABGAY_clean,403.22488,339.90292,63.32196
FOMWOV_clean,310.93808,374.2206,63.28253
OLOPEM_clean,298.88272,362.1503,63.26758
ILOTOT_clean,245.78215,309.01913,63.236984
KUMBUR_clean,504.77902,441.71243,63.06659
SAXLEK_clean,210.6671,273.64847,62.98137
LASWEJ_clean,243.29268,306.05594,62.76326
WOLYON_clean,462.2595,399.69864,62.560852
LASMAV_neutral,328.04382,390.44968,62.405853
LUJBAV_clean,266.23575,328.50638,62.27063
LASWIN_clean,314.976,376.74576,61.769745
HOFMAS_clean,228.07953,289.84576,61.766235
LACNUB_clean,186.46681,248.23149,61.76468
GISWEM_clean,241.0495,302.74554,61.696045
OXALEF_clean,451.67276,390.6586,61.01416
MAKGUD_clean,451.69775,390.91107,60.786682
QUDJIJ_clean,270.00848,330.26132,60.25284
ECUTON_clean,284.2615,344.33273,60.071228
ETEMIB_clean,253.35857,313.40582,60.047256
EPEWAY_clean,301.16846,361.13406,59.965607
YUMFUJ_clean,513.5782,453.6998,59.878387
XOPMIA_clean,268.7143,328.42728,59.712982
OLANEW_clean,465.1046,405.48615,59.61847
REYPIW_clean,262.73828,322.34305,59.604767
MOTVOI_clean,213.16965,272.6831,59.51346
IQIJIC_clean,446.30554,386.92633,59.37921
KIFWUT_clean,268.08224,327.38358,59.30133
AVESOL_clean,337.23306,396.3881,59.15503
VUQJUN01_clean,483.17703,424.10214,59.07489
SADLIU_clean,521.90326,462.88788,59.01538
RESWUI_clean,566.8041,508.07898,58.725098
DOKBUC_clean,424.03998,365.37555,58.66443
VOJGOS_clean,265.36795,324.03006,58.66211
KIXXOG_clean,535.7989,477.1456,58.65329
QUFGED_clean,328.48767,387.0862,58.59854
UHIYOB_clean,184.48276,242.49054,58.007782
IBOZIK_clean,214.14075,272.12708,57.98633
ASIVAB_clean,329.9096,271.9674,57.9422
MIDCAF_clean,451.47446,393.62134,57.85312
LOSBOM_clean,381.1266,438.92712,57.800537
REHVEH_clean,303.42902,361.21582,57.786804
IFAREN_charged,654.324,596.55005,57.773926
QADVUN_clean,267.66116,325.14893,57.487762
WEVQOD01_clean,35.016792,92.49896,57.48217
YIJYUN_clean,431.39337,373.95673,57.436646
SIVVAW_clean,230.42856,287.85098,57.422424
GUFXEM_clean,447.65604,390.32224,57.3338
BAXSIE_clean,353.25302,410.5153,57.262268
