CifId,GroundTruth,Predicted,Prob
Ni_HPTZ_2,1.0,1,0.9728873
CAU-10-OH,1.0,1,0.99638736
TOVGAO,1.0,1,0.9997248
TOVGES,1.0,1,0.9950069
dut-68-hf,1.0,1,0.99283314
mil-53-cr,1.0,1,0.99843186
UiO-66-NH2,1.0,1,0.713547
PAFXUS,1.0,1,0.9998608
PCN-56,1.0,1,0.98169774
PORLAL,1.0,1,0.9996761
CAU-10-NH2,1.0,1,0.9981896
ZULNAX,1.0,1,0.9994934
UGOCAW,1.0,1,0.9895962
OLEYEL,1.0,1,0.99959284
XAPFUS,1.0,1,0.99403495
UiO-66-SO3H,1.0,1,0.9401908
WUPTUY,1.0,1,0.9081226
"UiO-2,6-NDC",1.0,1,0.83509004
EGIKUB01,1.0,1,0.996854
UiO-66-I,1.0,1,0.9777127
PCN-222_Fe,1.0,1,0.9923786
UiO-66-CO2H,1.0,1,0.8739893
XAPGED,1.0,1,0.9978898
BUNKUS,1.0,1,0.99443877
FOTNIN,1.0,1,0.77263916
ARUHUS,1.0,1,0.9226614
LATCAN,1.0,1,0.9996704
ASOYOY,1.0,1,0.79904246
VASGII,1.0,1,0.999066
UGOCEA,1.0,1,0.905333
mil-53-al,1.0,1,0.9996156
ZODXAT,1.0,1,0.9916296
dut-69-zr,1.0,1,0.9932251
OHUMEL,1.0,1,0.9991333
HADDOI,1.0,1,0.99955237
LaBTB,1.0,1,0.9941624
HUFKOK,1.0,1,0.99548316
Pb2_PTPTP_2_H2O_2,1.0,1,0.99981505
ZODXIB,1.0,1,0.96224874
GUCTAB,1.0,1,0.9903526
HAJQUH,1.0,1,0.9949519
Zn3_BTP_2,1.0,1,0.99656963
SALXEL,1.0,1,0.99829346
KUZYUB,1.0,1,0.99024516
UiO-66-Br2,1.0,1,0.98927855
MERLAZ,1.0,1,0.97014135
IQECIS,1.0,1,0.9989645
XAPGAZ,1.0,1,0.997982
XANZAQ,1.0,1,0.97789526
UQEGII,1.0,1,0.999025
dut-67-zr,1.0,1,0.9991116
Pb2_p-PDA_PTPTP_2,1.0,1,0.9997683
LAFFEG,1.0,1,0.99894035
dut-68-zr,1.0,1,0.99918157
TEBWII,1.0,1,0.7069208
KASDOA,1.0,1,0.999254
RUWXAJ,0.0,0,0.0004716157
KINKOJ,0.0,0,0.0043133325
BIRLAR,0.0,0,0.0011920709
SCUTC-18,0.0,0,0.03145804
CEHKUW,0.0,0,0.013939978
BOPWIO,0.0,0,0.0012847431
BELYIC,0.0,0,1.8320363e-05
UiO-66-OMe_2,0.0,0,0.0057856324
SONVIB,0.0,0,0.0025572216
GAYGIY,0.0,0,0.0007440495
LOQSIU,0.0,0,1.9265348e-05
MITRUD,0.0,0,0.00057010236
VOPVIH,0.0,0,0.00047377456
Bio-MOF-11,0.0,0,0.00084510935
WOLRIZ,0.0,0,0.0002760967
ELUBEU,0.0,0,7.3782206e-07
WABVOL,0.0,0,0.0025120701
OTENEH,0.0,0,0.00056822726
UNINIP,0.0,0,5.65264e-05
MOF-801-SC,0.0,0,0.0020066455
QITHAC,0.0,0,0.0001740437
ZOZHUT,0.0,0,0.0012438608
POZKUL,0.0,0,0.017704237
EPEYAB,0.0,0,4.0570292e-05
UiO-66,0.0,0,0.39669755
LAZNEH,0.0,0,0.0009872502
Zn-DMOF-OH,0.0,0,0.00035692976
LIQFEY,0.0,0,0.017957024
XALBUI,0.0,0,0.00017113358
AVUJIL,0.0,0,0.0028678568
mil-140b,0.0,0,0.06531759
YOYPOT,0.0,0,0.007792201
YEGCEU,0.0,0,0.0017029961
AVUJEH,0.0,0,0.014920645
XICYAL,0.0,0,0.0046462934
AVIPAX,0.0,0,0.0006442925
UiO-BPY,0.0,0,0.00996882
WASNUA,0.0,0,0.0001798687
YEGDAR,0.0,0,0.002583216
GIYTEO,0.0,0,0.0045101736
ZOZJEF,0.0,0,0.001461591
WEHRIL,0.0,0,0.0010470299
KOMGEZ,0.0,0,2.2948005e-05
TEWFUY,0.0,0,6.014095e-05
RUYVEO,0.0,1,0.7229836
YUKBOX,0.0,0,0.0030940482
COMDOY,0.0,0,0.00024291691
HUYFAJ,0.0,0,0.017425986
HUCSEF,0.0,0,0.0034037905
VIDWIQ,0.0,0,0.000117943455
YEGTEK,0.0,0,4.1083105e-05
TIFCIU,0.0,0,0.0012409461
JOCPIB,0.0,0,2.3821109e-05
OSAVEK,0.0,0,0.011813427
MOF-805,0.0,0,0.02684315
SOCLIH,0.0,0,0.004991631
