CifId,GroundTruth,Predicted,Prob
WUTBEU,1.0,1,0.9996804
mil-101-so3h,1.0,1,0.9819588
BEDHOJ,1.0,1,0.98505276
mil-140a,1.0,1,0.99956185
CAU-10-OH,1.0,1,0.99973285
Cu2_TCMBT_BPP_mu3-OH,1.0,1,0.99842215
LATCAN,1.0,1,0.9999409
PCMOF-5,1.0,1,0.9999728
Zn_1-3-BDP,1.0,1,0.99908626
WUPTUY,1.0,1,0.9988809
HADDOI,1.0,1,0.99983126
HIFVUO01,1.0,1,0.99855506
HUYFAJ,1.0,1,0.8692535
mil-101-cr-a,1.0,1,0.99133426
IXIKOR,1.0,1,0.99977046
UiO-66,1.0,1,0.9480838
IQECIS,1.0,1,0.99992114
SIFVOU,1.0,1,0.9426683
PCN-222_Fe,1.0,1,0.9990228
Ni_HPTZ_2,1.0,1,0.99950224
BIQHIU,1.0,1,0.8469449
BIQHEQ,1.0,1,0.97633106
WUTBAQ,1.0,1,0.9992561
GUCTAB,1.0,1,0.99985844
RUYVEO,1.0,1,0.9801768
SUTJOI,1.0,1,0.99999774
MONT1,1.0,1,0.99407214
JUMZUO01,1.0,1,0.9999926
JUC-110,1.0,1,0.99958605
ZULNAX,1.0,1,0.999857
VASGII,1.0,1,0.99990475
HUCSEF,1.0,1,0.99452186
XUNJEW,1.0,1,0.9788436
PORLAL,1.0,1,0.99986386
LaBTB,1.0,1,0.99956053
mil-140b,1.0,1,0.984934
mil-53-al,1.0,1,0.99994195
UZIGOB,1.0,1,0.99999434
YEZKIZ,1.0,1,0.9999983
IMIDZB10,1.0,1,0.99481106
CAU-10-NH2,1.0,1,0.99932504
HIFHIP,0.0,0,0.019948054
WABVUR,0.0,0,0.028295757
EVOTIT,0.0,0,0.0102019925
ZOZHUT,0.0,0,0.0018324488
SEFPAV,0.0,0,0.000113771675
VOPCIO,0.0,0,0.012134773
TAVQAJ,0.0,0,7.288884e-05
JIZWAS,0.0,0,0.0004870941
CEHKUW,0.0,0,0.0038355708
JASMEW,0.0,0,1.8376199e-05
OVICUS,0.0,0,0.014385217
MAKFAI,0.0,0,0.00900842
WUSGIC,0.0,0,0.0015899827
HEBJEF,0.0,0,0.06487797
QIRWAR,0.0,0,0.06647232
PURNOH,0.0,0,0.018397745
MOFF-2,0.0,0,0.08205334
CUNFEX,0.0,0,0.0524559
XACFEN,0.0,0,0.006172059
YOYPOT,0.0,0,0.0395535
SONVAT,0.0,0,0.13035128
UiO-BPY,0.0,0,0.055362187
Ni8_OH_4_H2O_2_L7_6,0.0,0,0.004704949
NU-1000-SALI-9,0.0,0,0.109101
RUWWOW,0.0,0,0.013260557
MOF-841,0.0,0,0.22477734
LIQFEY,0.0,0,0.40037504
CIKCEG,0.0,0,0.00066825195
HACDUN,0.0,0,0.017961588
RARYIT,0.0,0,0.0021663269
KUZYUB,0.0,0,0.0064108786
YOYPUZ,0.0,0,0.071856774
MITSIS,0.0,0,0.003236123
SOSFEN,0.0,0,0.0015582811
FIVZAM,0.0,0,0.00057007954
UNINIP,0.0,0,0.00012925432
ZZZRNQ02,0.0,0,2.9364077e-05
SANHOH,0.0,0,0.073223546
MERLAZ,0.0,1,0.63668567
UMCM-1,0.0,0,0.00070227263
AVUJIL,0.0,0,0.030410942
