,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.6625,0.6625,0.3972,0.7812,0.6321,0.6868526510894298,0.65,0.65,0.4201,0.87,0.6011,0.6855768531560897,0.5833,0.5833,0.3015,0.7083,0.4958,0.6893070638179779,RandomForestClassifier,mutual_info,55,0,
mean,0.6625,0.6625,0.3972,0.7812,0.6321,0.6868526510894298,0.65,0.65,0.4201,0.87,0.6011,0.6855768531560897,0.5833,0.5833,0.3015,0.7083,0.4958,0.6893070638179779,RandomForestClassifier,mutual_info,55,0,
full,0.72,0.72,0.4414,0.8,0.7196,0.5838501316308975,,,,,,,0.6667,0.6667,0.3381,0.7361,0.6643,0.6276169853905836,RandomForestClassifier,mutual_info,55,0,
,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.6875,0.6875,0.39,0.7481,0.6815,0.606018932722509,0.7,0.7,0.4082,0.85,0.697,0.6159808576107025,0.7083,0.7083,0.4181,0.7431,0.7078,0.6270048109193643,GaussianProcessClassifier,mutual_info,16,0,
mean,0.6875,0.6875,0.39,0.7481,0.6815,0.606018932722509,0.7,0.7,0.4082,0.85,0.697,0.6159808576107025,0.7083,0.7083,0.4181,0.7431,0.7078,0.6270048109193643,GaussianProcessClassifier,mutual_info,16,0,
full,0.7,0.7,0.412,0.76,0.6956,0.5922447521984577,,,,,,,0.6667,0.6667,0.3333,0.7431,0.6667,0.6156312264502048,GaussianProcessClassifier,mutual_info,16,0,
,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,1.0,1.0,1.0,0.0,1.0,11.280364274978638,0.5,0.5,0.0,0.5,0.3333,0.6931471824645996,0.5417,0.5417,0.2085,0.5,0.4198,0.6931471824645996,SVC,RFE,131,0,
mean,1.0,1.0,1.0,0.0,1.0,11.280364274978638,0.5,0.5,0.0,0.5,0.3333,0.6931471824645996,0.5417,0.5417,0.2085,0.5,0.4198,0.6931471824645996,SVC,RFE,131,0,
full,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,0.5417,0.5417,0.2085,0.5417,0.4198,34.53877639770508,SVC,RFE,131,0,
