,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.9685,0.9696,0.935,0.9964,0.9674,0.32015615023489824,0.7829,0.769,0.5439,0.8205,0.7715,0.5476425471139096,0.7123,0.6868,0.3886,0.7697,0.6906,0.5860507109901745,RandomForestClassifier,RFE,85,0,
mean,0.9685,0.9696,0.935,0.9964,0.9674,0.32015615023489824,0.7829,0.769,0.5439,0.8205,0.7715,0.5476425471139096,0.7123,0.6868,0.3886,0.7697,0.6906,0.5860507109901745,RandomForestClassifier,RFE,85,0,
full,0.9679,0.9676,0.9335,0.9956,0.9667,0.3077792497985194,,,,,,,0.7534,0.7323,0.4786,0.8201,0.7368,0.5584898278869154,RandomForestClassifier,RFE,85,0,
,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.9241,0.9138,0.8422,0.9828,0.9198,0.39148975415958126,0.7543,0.7262,0.4774,0.7996,0.7324,0.5691177768011888,0.6575,0.6242,0.2643,0.7185,0.6256,0.6261372796132498,GaussianProcessClassifier,RFE,53,0,
mean,0.9241,0.9138,0.8422,0.9828,0.9198,0.39148975415958126,0.7543,0.7262,0.4774,0.7996,0.7324,0.5691177768011888,0.6575,0.6242,0.2643,0.7185,0.6256,0.6261372796132498,GaussianProcessClassifier,RFE,53,0,
full,0.9255,0.9158,0.8451,0.9843,0.9214,0.363493207228092,,,,,,,0.7215,0.6944,0.4073,0.7615,0.6989,0.5979043854359153,GaussianProcessClassifier,RFE,53,0,
,tr_ACC,tr_BACC,tr_MCC,tr_AUC,tr_F1,tr_CE,val_ACC,val_BACC,val_MCC,val_AUC,val_F1,val_CE,te_ACC,te_BACC,te_MCC,te_AUC,te_F1,te_CE,model_name,feature_selector,feature_num,random_state,hyperparams
fold_1,0.9957,0.9947,0.9911,1.0,0.9955,0.08613852334016374,0.6857,0.6143,0.3446,0.8223,0.5916,0.5940946141745719,0.621,0.5452,0.1445,0.6795,0.4992,0.6944871622963055,SVC,RFE,19,0,
mean,0.9957,0.9947,0.9911,1.0,0.9955,0.08613852334016374,0.6857,0.6143,0.3446,0.8223,0.5916,0.5940946141745719,0.621,0.5452,0.1445,0.6795,0.4992,0.6944871622963055,SVC,RFE,19,0,
full,0.9954,0.9948,0.9905,1.0,0.9952,0.20271896940232179,,,,,,,0.653,0.5812,0.2463,0.7174,0.5494,15.144472171454636,SVC,RFE,19,0,
