MofName,Partition,water_label,water4_label,acid_label,base_label,boiling_label,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
KINKUP,train,1,3,0,0,0,3.75964,1.31922,3.7173,1.38514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.217142857142857,0.7785714285714285,0.0,-0.9285714285714286,-0.1428571428571428,0.5714285714285714,0.0,2.0,7.0,16.428571428571427,0.0,-7.285714285714286,-8.005078571428573,-4.565743571428572,0.0,0.9542857142857148,1.9042857142857148,3.335714285714286,0.0,0.0,0.0,0.0,0.0,-0.04,0.54,0.4128571428571428,0.0,-2.071428571428572,-1.0,-0.7857142857142857,0.0,2.0,10.5,8.821428571428571,0.0,-7.285714285714286,-0.7392364285714285,-2.0655225,0.0,0.9542857142857148,1.956428571428572,1.78,1.0,2.071428571428572,3.7857142857142856,4.785714285714286,0.5540428571428571,1.1864928571428572,1.9494642857142856,2.0855214285714285,4.928571428571429,14.071428571428571,21.785714285714285,21.357142857142858,53.285714285714285,91.21428571428572,144.5,128.78571428571428,47.13999999999999,156.1257142857143,247.70329571428576,270.1058177142857,9.98217142857143,16.881142857142855,30.57645714285714,35.99451428571428,1.0,1.7142857142857142,3.5,2.4285714285714284,0.5540428571428571,0.9856,1.5449499999999998,1.029942857142857,3.142857142857143,9.5,13.071428571428571,7.5,53.285714285714285,73.71428571428571,106.42857142857144,68.42857142857143,47.13999999999999,136.56857142857143,175.6042830714286,118.77650567857144,9.98217142857143,13.580571428571428,27.90177142857144,19.29268571428572,0.0,0.0,0.0,0.0,0.0,3.4133333333333336,5.04,12.44,0.0,20.666666666666668,27.33333333333333,68.0,0.0,135.33333333333334,224.0,445.3333333333333,0.0,-9.406666666666666,-8.4,-16.446666666666673,47.0,96.0,180.0,284.0,30.451900000000016,69.41600000000003,125.5284,165.90399999999994,276.0,760.0,1108.0,1040.0,4638.0,10632.0,16520.0,14576.0,364.31729999999993,667.5779999999994,1431.9884,2312.5142,1.0,6.0,9.333333333333334,17.333333333333332,1.7161000000000002,5.8251333333333335,9.414533333333337,13.449333333333335,36.0,92.0,172.0,216.0,900.0,1340.0,1680.0,2240.0,2.7225,31.855999999999995,39.26999999999999,74.327,30.571428571428573,64.85714285714286,101.71428571428572,122.0,12.95894285714286,31.37037142857144,45.83177142857145,47.70900000000001,166.57142857142858,413.1428571428572,575.4285714285714,555.1428571428571,816.2857142857143,1839.142857142857,2564.5714285714284,2361.714285714286,200.09557142857147,434.1708571428574,681.3058285714285,785.5428285714289
TIZYIM,train,1,3,0,0,0,4.24601,3.52063,4.24601,2.0399,0.0,0.0,0.016,0.0078435217412618,0.0,0.016,0.0,0.00784351,0.0,28.6516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0399999999999999,-0.0399999999999999,-0.0799999999999999,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.0950000000000002,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999997,20.605599999999992,17.543999999999993,0.0,0.0,0.0,0.0,0.0,8.55,5.46,8.31,0.0,57.0,36.0,57.0,0.0,495.0,342.0,507.0,0.0,-20.160000000000004,-8.1,-14.82,20.0,60.0,140.0,132.0,15.596999999999996,57.640799999999984,97.44179999999994,82.16880000000003,264.0,984.0,1344.0,816.0,8922.0,19296.0,24306.0,11808.0,183.8982,359.136,1425.3503999999998,1102.1759999999997,1.0,9.0,7.0,9.0,2.8224,11.0376,10.583999999999998,11.4408,81.0,216.0,243.0,216.0,3969.0,4536.0,6237.0,3780.0,1.44,37.152,19.8,30.744,40.0,112.0,262.0,324.0,13.900000000000006,46.47040000000001,83.2374,92.8068,514.0,2270.0,3086.0,2388.0,817.0,2248.0,3380.0,3306.0,246.5119,688.0210000000005,1509.6854000000003,1817.9370000000008
YUKBOX,train,0,2,0,0,0,16.40548,6.2544,14.45084,0.540663,2310.38,4273.24,0.6277,1.160981979532537,0.6277,0.0,1.16098,0.0,16714.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5329000000000002,0.5621000000000002,1.0949999999999998,1.1242000000000003,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.090000000000003,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,2.3200000000000003,1.6200000000000003,6.8400000000000025,0.0,6.0,3.0,21.0,0.0,88.0,72.0,270.0,0.0,-7.1599999999999975,-2.700000000000001,-18.81,23.0,56.0,96.0,132.0,17.349500000000003,44.092000000000006,76.77600000000001,102.5796,152.0,416.0,720.0,864.0,4648.0,8832.0,18960.0,20160.0,203.7418,392.1599999999999,843.6659999999996,934.992,1.0,4.0,6.0,12.0,1.7161000000000002,3.8251999999999993,8.1744,11.6328,16.0,40.0,84.0,108.0,900.0,960.0,3240.0,2700.0,2.7224999999999984,22.704000000000004,20.790000000000006,63.706500000000005,69.0,145.28571428571428,264.85714285714283,368.1428571428572,26.13981428571428,66.28709999999991,108.03814285714282,140.86572857142852,410.1428571428572,1077.857142857143,1646.571428571429,2096.1428571428573,1518.0,3450.8571428571427,5413.714285714285,6724.285714285715,423.3645857142856,911.4537857142844,1621.134085714284,2192.630785714284
NABNIO,train,1,3,0,0,0,4.17211,3.4341,4.13738,1.20833,0.0,0.0,0.0721,0.0596691301217382,0.0,0.0721,0.0,0.0596693,0.0,284.2,0.0,0.0,0.0,0.0,0.0,0.0119999999999999,0.1279999999999999,0.1519999999999999,0.0,-1.0,-0.7,-1.2,0.0,1.9,3.6,4.9,0.0,-3.880711,-2.8028440000000003,-4.343555,0.0,0.6760000000000002,0.8880000000000001,1.2699999999999998,0.0,0.0,0.0,0.0,0.0,-0.04,0.416,0.412,0.0,-2.0,-0.8,-1.0,0.0,2.0,9.2,9.4,0.0,-7.08,-3.608532,-3.668532,0.0,0.9440000000000004,1.9520000000000004,2.014,0.6,0.9,1.6,1.5,0.3256599999999999,0.4828500000000001,0.78,0.70319,1.5,4.1,5.3,5.1,35.4,36.8,64.4,50.4,22.188,59.79276830000001,81.98104560000002,80.36581389999999,6.581760000000001,7.366399999999999,14.018239999999995,12.000000000000002,1.0,1.6,3.2,2.6,0.5506599999999999,0.9178400000000002,1.464,1.1291800000000003,2.8,8.4,11.2,8.4,55.0,69.6,103.6,72.0,44.092000000000006,124.29999999999998,175.55913680000003,138.10713680000003,10.2784,12.811199999999996,25.570239999999995,19.694399999999995,0.0,0.0,0.0,0.0,0.0,3.69,5.68,13.84,0.0,12.0,16.0,48.0,0.0,203.0,336.0,698.0,0.0,-7.549999999999999,-6.879999999999997,-13.439999999999998,40.0,82.0,140.0,200.0,18.68790000000001,44.676800000000014,70.7396,85.92800000000003,222.0,574.0,824.0,918.0,3326.0,5448.0,7612.0,5840.0,254.7972,526.3400000000003,908.4849999999998,1298.5800000000002,1.0,5.0,8.0,16.0,2.1904,5.4908,9.1168,14.563199999999997,25.0,65.0,120.0,160.0,2304.0,1776.0,2304.0,3360.0,2.8561,27.04,34.476,68.41120000000001,24.0,49.0,78.0,99.0,9.915200000000002,23.246900000000004,33.6422,37.380300000000005,127.0,313.0,429.0,455.0,646.0,1322.0,1837.0,1806.0,159.8299,323.1305000000001,509.8903,615.1755
Ni_HPTZ_2,train,1,3,1,0,1,5.28442,4.832,5.27933,1.3086,747.483,571.208,0.2332,0.178205716032401,0.2332,0.0,0.178205,0.0,300.636,0.0,0.0,0.0,0.0,0.0,0.0,0.3033333333333333,0.581,0.8213333333333332,0.0,1.6333333333333333,3.0,2.2666666666666666,0.0,8.1,14.6,20.666666666666664,0.0,7.3907263333333315,11.483601,12.416238666666668,0.0,0.3340000000000003,0.929,1.838666666666667,0.0,0.0,0.0,0.0,0.0,-0.0974999999999999,0.2599999999999999,0.3399999999999999,0.0,-1.5,-1.5,-1.0,0.0,-1.0,5.75,8.0,0.0,-7.85,-2.2553325,-3.55711,0.0,0.6800000000000002,1.2200000000000002,1.7525,1.0,2.7,3.9,3.466666666666667,0.6983133333333333,1.7588366666666666,2.0948,1.7331466666666668,8.233333333333333,19.133333333333333,22.23333333333333,20.53333333333333,102.93333333333334,212.5333333333333,187.9,130.13333333333333,194.378,318.8214837666667,337.7385691333333,338.5992673333334,9.265733333333332,20.00829333333333,32.51348,24.46373333333333,1.0,1.75,3.0,2.25,0.5550999999999999,1.04845,1.4701,0.989825,3.25,8.5,12.0,7.75,52.75,98.25,117.5,62.75,48.0925,136.91,157.8169605,123.64638125,9.8896,14.6286,25.871,17.108,0.0,0.0,0.0,0.0,0.0,2.8,3.9,9.76,0.0,20.0,28.0,66.0,0.0,124.0,198.0,404.0,0.0,-7.580000000000001,-7.639999999999999,-15.64,17.0,32.0,58.0,100.0,11.6487,23.0084,41.0398,60.9288,90.0,248.0,340.0,264.0,1898.0,3672.0,6540.0,6008.0,136.8503,238.81600000000003,466.0508,852.1759999999998,1.0,6.0,10.0,19.0,1.4641,5.3966,9.921999999999995,16.008300000000002,36.0,96.0,192.0,288.0,784.0,1232.0,2296.0,3584.0,3.6481,36.3664,51.0734,99.18630000000002,22.5,47.0,73.0,87.0,10.17975,24.51910000000001,35.33200000000001,36.57990000000001,120.0,296.0,414.0,417.0,859.5,1946.0,2409.0,2106.0,156.3417,320.42780000000005,519.7170000000001,569.667
GAZKOJ,train,0,2,0,0,0,6.74493,1.49579,6.74006,1.24173,0.0,0.0,0.2099,0.1690383577750396,0.0,0.2099,0.0,0.169039,0.0,753.957,0.0,0.0,0.0,0.0,0.0,0.3199999999999999,0.2799999999999999,0.8799999999999999,0.0,-1.0,-3.0,-1.3333333333333333,0.0,9.0,11.0,22.666666666666668,0.0,-5.207110000000001,-11.207110000000002,-9.885626666666669,0.0,2.13,3.02,5.086666666666667,0.0,0.0,0.0,0.0,0.0,-0.04,-0.0666666666666667,0.3999999999999999,0.0,-2.333333333333333,-4.666666666666667,-6.0,0.0,2.0,3.333333333333333,13.333333333333334,0.0,-6.000000000000001,-10.000000000000002,-10.942813333333335,0.0,0.8900000000000001,1.4833333333333336,3.4333333333333336,1.0,2.0,3.0,6.0,0.5328999999999999,0.8321999999999999,1.3943,2.555,4.0,10.0,18.0,26.666666666666668,64.0,56.0,104.0,202.66666666666663,28.09,83.777683,143.667683,220.93382133333336,11.8336,16.34,25.112,53.50346666666667,1.0,1.0,2.333333333333333,4.666666666666667,0.5328999999999999,0.5621,1.2920999999999998,2.1948666666666665,1.0,3.333333333333333,7.0,10.666666666666666,64.0,48.0,122.66666666666669,192.0,28.09,59.89000000000001,118.54333333333336,189.08357733333324,11.8336,8.771999999999998,22.509066666666666,43.4128,0.0,0.0,0.0,0.0,0.0,3.435,4.59,5.8950000000000005,0.0,12.0,15.0,12.0,0.0,73.5,121.5,127.5,0.0,-8.610000000000001,-5.085000000000001,-10.875000000000002,11.5,24.0,39.0,48.0,7.98605,17.4591,25.5669,21.7692,63.0,165.0,240.0,174.0,996.5,2316.0,2853.0,1578.0,91.87585,168.4251,329.9118,393.50999999999993,1.0,4.5,6.0,7.5,2.714600000000001,4.9056,5.8737,8.700300000000002,22.5,54.0,85.5,117.0,545.0,876.0,697.5,1209.0,2.1034,23.6328,23.7225,31.45049999999999,23.0,46.0,84.0,132.0,8.716700000000001,20.655,34.7732,46.3044,130.0,352.0,528.0,550.0,646.0,1212.0,2016.0,2522.0,164.9191,320.247,576.1992,908.2538000000004
ROSCAD,train,1,3,0,0,0,4.19489,1.22092,4.19341,1.3876,0.0,0.0,0.1344,0.09685788411646,0.0,0.1344,0.0,0.0968579,0.0,354.984,0.0,0.0,0.0,0.0,0.0,-0.0066666666666666,0.2039999999999999,0.1919999999999999,0.0,-0.0666666666666666,-0.6,-1.2,0.0,0.3333333333333333,4.8,5.4,0.0,-1.7799999999999998,-2.9442660000000003,-5.284266000000001,0.0,0.1873333333333335,1.0920000000000003,1.3860000000000003,0.0,0.0,0.0,0.0,0.0,-0.032,0.432,0.2039999999999999,0.0,-2.0,0.0,-0.6,0.0,1.6,8.4,4.8,0.0,-5.5200000000000005,-1.208532,-2.9442660000000003,0.0,0.7480000000000002,1.596,1.0920000000000003,1.0,1.933333333333333,2.2666666666666666,2.4,0.5555933333333334,1.0855,1.108186666666667,1.206,4.133333333333334,8.2,8.866666666666667,12.0,52.5,95.66666666666666,84.46666666666667,79.8,48.537,111.78933333333336,133.4642350666667,170.5275684,9.8464,17.86506666666667,18.837546666666665,17.9664,1.0,1.6,3.2,1.8,0.5506599999999999,0.912,1.45232,0.8595,2.8,8.4,10.4,8.4,55.0,72.8,110.0,54.6,44.092000000000006,116.03199999999995,162.8391368,120.3555684,10.2784,13.48544,26.79488,13.3152,0.0,0.0,0.0,0.0,0.0,4.44,5.719999999999999,13.169999999999998,0.0,21.0,24.0,63.0,0.0,243.0,334.0,654.0,0.0,-9.3,-7.859999999999998,-13.47,17.0,34.0,58.0,82.0,11.224799999999998,25.5474,41.2974,48.452200000000005,96.0,256.0,334.0,290.0,3085.0,5384.0,7086.0,5196.0,147.2471,263.3072000000001,496.9690000000001,698.7391999999998,1.0,6.0,8.0,15.0,2.1904,6.571199999999999,9.0576,13.364399999999998,36.0,90.0,144.0,162.0,2304.0,2160.0,2400.0,3168.0,2.8561,32.8536,36.1322,65.6058,17.2,34.8,50.4,56.4,7.30476,16.680600000000005,22.14504,21.420840000000005,85.2,199.2,254.4,241.2,479.2,999.6,1226.4,1003.2,115.93480000000004,237.35256000000007,338.85744000000005,351.0834
ILOTOT,train,0,2,0,0,0,4.12508,3.17559,4.11569,1.43009,0.0,0.0,0.052,0.0363613478871959,0.0,0.052,0.0,0.0363614,0.0,90.1409,0.0,0.0,0.0,0.0,0.0,-0.08,0.5999999999999999,1.3199999999999998,0.0,-3.0,-2.0,0.0,0.0,4.0,20.0,34.0,0.0,-12.000000000000002,-16.414220000000004,-14.828440000000004,0.0,1.7800000000000002,5.15,7.630000000000001,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,1.0,2.0,5.0,7.0,0.5328999999999999,1.1242,2.2265,2.7667,4.0,14.0,24.0,28.0,64.0,96.0,160.0,176.0,28.09,119.78,227.445366,275.220732,11.8336,17.543999999999997,41.452,56.588,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,2.6500000000000004,2.45,7.220000000000002,0.0,14.0,11.0,35.0,0.0,95.0,105.0,276.0,0.0,-7.800000000000001,-3.35,-17.39,28.0,72.0,148.0,224.0,19.62,54.77920000000003,104.7988,151.6648,220.0,640.0,1160.0,1488.0,4228.0,10176.0,18712.0,22848.0,255.49519999999995,539.3919999999997,1403.3952000000002,1798.9823999999996,1.0,5.0,7.0,14.0,1.5876,4.599,8.026200000000001,13.129200000000004,26.0,62.0,126.0,176.0,729.0,1080.0,2268.0,2754.0,3.5344,32.336,31.0388,82.17479999999999,37.0,76.0,124.0,156.0,15.1933,35.9436,52.56120000000002,58.27320000000002,200.0,492.0,658.0,684.0,1010.0,2088.0,2942.0,2984.0,249.3041,505.51200000000006,828.7334,1005.1039999999996
UCEXAC,train,1,3,0,0,0,6.32023,4.85158,6.31398,1.4352,1163.26,810.521,0.3643,0.2538322185061316,0.3643,0.0,0.253833,0.0,1024.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0302222222222222,-0.0367407407407407,-0.0082962962962963,0.0,-1.511111111111111,-1.8370370370370368,-3.348148148148148,0.0,1.511111111111111,1.8370370370370368,4.488888888888889,0.0,-4.533333333333335,-5.511111111111112,-9.91523274074074,0.0,0.6724444444444446,0.8174814814814817,1.6920000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.162962962962963,2.0,2.162962962962963,0.5377888888888889,0.6562111111111112,1.1023985185185188,1.1756474074074077,1.6518518518518517,3.9777777777777774,5.140740740740741,7.466666666666667,61.71851851851852,54.84444444444445,108.74074074074076,95.02222222222224,36.20555555555555,75.17429629629629,101.62,139.12864848888887,11.399214074074074,10.016588888888888,19.98629185185185,18.088377777777776,0.0,0.0,0.0,0.0,0.0,6.623333333333334,4.8533333333333335,10.21,0.0,35.0,21.33333333333333,50.0,0.0,400.3333333333333,314.6666666666667,639.0,0.0,-15.786666666666669,-7.733333333333332,-20.4,64.0,164.0,352.0,418.0,49.16259999999999,148.76960000000005,242.47979999999987,278.78900000000004,584.0,1816.0,2414.0,2492.0,28446.0,46384.0,50818.0,49344.0,576.3246,993.6280000000004,3394.9,3266.384999999997,1.0,7.0,5.666666666666667,11.0,2.8224,8.629599999999998,7.839999999999999,13.8936,51.0,118.0,137.0,199.0,4225.0,3553.333333333333,3488.333333333333,4940.0,1.2100000000000002,25.83533333333333,15.363333333333337,35.74999999999999,16.0,32.0,48.0,58.0,7.4224,16.262400000000007,23.0448,24.679400000000005,80.0,192.0,256.0,250.0,548.0,1008.0,1456.0,1420.0,118.7144,219.096,337.32039999999995,385.38700000000006
IRMOF-1-38,train,0,2,0,0,0,13.07264,6.12466,13.07264,0.784451,2131.66,2717.39,0.6543,0.8340865140078858,0.6543,0.0,0.834087,0.0,5661.44,0.0,0.0,0.0,0.0,0.0,0.0,-0.065,-0.02,0.0149999999999999,0.0,-3.0,-0.5,-2.0,0.0,3.25,1.0,5.5,0.0,-8.670000000000002,-3.0,-9.971777500000002,0.0,1.5175,0.445,2.0500000000000003,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,1.0,1.25,3.5,1.75,0.5113,0.691075,1.8146500000000003,0.8991250000000001,1.75,6.5,7.5,7.25,76.75,64.5,253.5,78.5,17.5132,61.64150000000001,80.6594,82.58592075000001,14.838699999999998,11.997750000000002,48.683400000000006,16.08275,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89000000000001,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,2.3200000000000003,1.6200000000000008,6.8400000000000025,0.0,6.0,3.0,21.0,0.0,88.0,72.0,270.0,0.0,-7.1599999999999975,-2.7000000000000006,-18.81,23.0,56.0,96.0,132.0,17.3495,44.092000000000006,76.776,102.5796,152.0,416.0,720.0,864.0,4648.0,8832.0,18960.0,20160.0,203.7418,392.16,843.6659999999997,934.992,1.0,4.0,6.0,12.0,1.7161000000000006,3.825200000000001,8.174400000000002,11.632800000000003,16.0,40.0,84.0,108.0,900.0,960.0,3240.0,2700.0,2.722499999999999,22.704000000000004,20.79,63.706500000000005,20.0,40.0,62.0,68.0,9.9236,21.22120000000001,31.4738,32.26080000000001,102.0,238.0,310.0,336.0,890.0,1512.0,2614.0,2154.0,179.73170000000002,303.8579999999999,540.1629999999999,496.719
