MofName,Label,Partition,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
ABAVIJ_clean,413.0359093,test,4.45543,2.4972,4.39809,1.52493,0.0,0.0,0.1043,0.0683965821381965,0.0,0.1043,0.0,0.0683964,0.0,137.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,0.1933333333333332,0.0,-2.0,-1.3333333333333333,-2.333333333333333,0.0,2.0,6.0,7.0,0.0,-6.600000000000001,-4.671406666666667,-7.371406666666668,0.0,0.9200000000000004,1.4800000000000002,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.126966666666667,2.0,6.0,8.0,7.333333333333333,59.0,60.0,107.33333333333331,82.66666666666667,36.98,95.67333333333332,136.63507600000003,129.96174266666665,10.9696,11.015999999999998,23.36373333333333,18.738666666666663,0.0,0.0,0.0,0.0,0.0,3.140000000000001,3.920000000000001,9.6,0.0,22.0,24.0,60.0,0.0,116.0,168.0,348.0,0.0,-8.56,-5.359999999999999,-12.88,26.0,56.0,108.0,176.0,16.803200000000004,40.51040000000003,72.61239999999998,105.39200000000002,164.0,448.0,652.0,752.0,2598.0,6408.0,9508.0,10848.0,216.73399999999992,413.58079999999984,955.7128,1458.0352,1.0,6.0,8.0,16.0,1.5876,5.5692,7.7616,13.305600000000002,36.0,84.0,144.0,216.0,729.0,1242.0,1296.0,2268.0,3.5344,37.2992,38.352,80.7648,13.0,26.0,38.0,42.0,5.7333,12.7666,17.2678,16.610999999999997,64.0,150.0,190.0,168.0,397.0,768.0,1020.0,884.0,91.2838,176.001,261.8652,273.572
ABAYIO_clean,440.4327248,train,11.38838,4.31822,11.37474,0.949126,1229.18,1295.07,0.5109,0.5382846956041664,0.3991,0.1118,0.420492,0.117793,1914.32,536.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.04,2.48,5.119999999999998,0.0,16.0,8.0,20.0,0.0,76.0,76.0,144.0,0.0,-9.17,-4.0,-11.56,16.0,36.0,64.0,80.0,12.459199999999996,30.7332,45.7408,55.4128,100.0,244.0,320.0,384.0,2484.0,5668.0,6624.0,7136.0,145.455,245.256,615.8415999999999,635.2959999999999,1.0,5.0,4.0,8.0,1.9321,5.434899999999999,4.281199999999999,8.340000000000002,25.0,45.0,60.0,100.0,625.0,1225.0,600.0,1400.0,2.4025000000000003,26.226000000000003,15.81,37.137999999999984,18.0,36.0,54.0,66.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.969,399.6456,462.213
ABAYOU_clean,432.1541741,val,11.249,4.50635,11.249,0.979267,1267.02,1293.85,0.5178,0.5287628399609096,0.401,0.1168,0.40949,0.119273,1896.83,552.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,2.39,1.9600000000000009,4.079999999999999,0.0,16.0,8.0,20.0,0.0,86.0,84.0,160.0,0.0,-7.519999999999999,-2.68,-8.920000000000002,16.0,36.0,64.0,80.0,11.7702,28.7,44.13920000000001,53.8944,100.0,244.0,320.0,384.0,2692.0,6060.0,6816.0,7392.0,147.71880000000002,267.5903999999999,629.3055999999999,653.4591999999998,1.0,5.0,4.0,8.0,1.5876,4.9266000000000005,3.8808,7.560000000000001,25.0,45.0,60.0,100.0,729.0,1323.0,648.0,1512.0,3.5343999999999984,31.8096,19.17599999999999,45.0448,18.0,36.0,54.0,66.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.969,399.6456,462.213
ABEFUL_clean,437.6718577,test,4.9398,3.32627,4.93906,1.55108,0.0,0.0,0.1239,0.0798798256698558,0.0,0.1239,0.0,0.07988,0.0,288.601,0.0,0.0,0.0,0.0,0.0,0.2633333333333333,0.1266666666666666,0.7999999999999998,0.0,1.6666666666666667,-1.3333333333333333,0.6666666666666666,0.0,9.333333333333334,8.666666666666666,23.33333333333333,0.0,9.499999999999996,-1.8000000000000025,8.057186666666661,0.0,-0.2366666666666664,0.9700000000000006,2.0800000000000005,0.0,0.0,0.0,0.0,0.0,-0.29,-0.04,-0.08,0.0,-3.0,-2.0,-4.0,0.0,-8.0,2.0,4.0,0.0,-14.099999999999996,-6.000000000000001,-12.000000000000002,0.0,0.8599999999999997,0.8900000000000003,1.7800000000000007,1.0,2.333333333333333,3.0,4.0,0.7119333333333332,1.6395999999999995,1.8362333333333327,2.1049333333333338,7.0,13.333333333333334,17.666666666666668,22.0,123.0,230.66666666666663,178.66666666666666,167.33333333333334,153.06999999999996,265.91333333333336,296.33000000000004,378.0936986666666,9.243866666666667,19.1946,25.535066666666665,28.81266666666666,1.0,1.0,3.0,2.0,0.5328999999999998,0.7446,1.6279,1.1242,1.0,4.0,5.0,6.0,64.0,128.0,176.0,96.0,28.09,102.81999999999996,116.07,119.78,11.8336,8.8752,32.4392,17.543999999999997,0.0,0.0,0.0,0.0,0.0,7.6,5.28,22.48,0.0,48.0,32.0,144.0,0.0,456.0,392.0,1384.0,0.0,-18.72,-11.840000000000002,-49.04000000000002,26.0,64.0,160.0,256.0,22.494400000000017,63.07200000000006,123.04639999999996,206.0352000000001,224.0,640.0,1024.0,1408.0,11522.0,20736.0,41472.0,45312.0,245.00879999999992,405.0944,1605.5167999999996,2109.1328,1.0,8.0,8.0,24.0,2.8224,9.8112,13.708799999999998,29.97120000000001,64.0,128.0,256.0,384.0,4225.0,4160.0,8320.0,11440.0,1.2100000000000002,30.272,22.704000000000004,82.98400000000004,88.0,192.0,320.0,400.0,42.17959999999997,103.98720000000009,160.56800000000013,184.3344000000001,512.0,1296.0,1920.0,2208.0,3596.0,8256.0,10752.0,11144.0,607.8652000000004,1283.1887999999992,2218.742399999998,2601.028
ABEXEN_clean,303.6005196,train,18.8079,13.71867,18.78666,0.674371,1587.72,2354.37,0.6303,0.9346487319294572,0.6303,0.0,0.934649,0.0,9781.01,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.23,0.0,-1.0,-2.0,3.0,0.0,10.0,20.0,31.0,0.0,8.099999999999996,16.199999999999992,43.09288999999999,0.0,0.0300000000000002,0.0600000000000005,-1.34,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.205,0.0,-2.0,-2.0,-3.5,0.0,2.0,2.0,-1.0,0.0,-6.000000000000001,-6.000000000000001,-16.05,0.0,0.8900000000000002,0.8900000000000002,1.765,0.5,1.0,2.0,3.0,0.5202,0.7854,1.5708,1.8666000000000005,2.0,6.0,12.0,6.0,128.0,96.0,192.0,272.0,188.18000000000004,219.22,438.44,293.077934,3.3282000000000003,6.579,13.158,23.4264,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.21545,1.0,3.0,4.0,5.5,64.0,48.0,112.0,136.0,28.09,59.88999999999999,87.98,141.245,11.833600000000002,8.771999999999998,20.605599999999995,17.595599999999997,0.0,0.0,0.0,0.0,0.0,5.519999999999999,2.6000000000000005,2.6000000000000005,0.0,48.0,20.0,20.0,0.0,328.0,172.0,172.0,0.0,-13.28,-3.0799999999999987,-3.0799999999999987,13.0,32.0,64.0,48.0,8.651200000000001,25.57920000000001,38.5896,26.98079999999999,112.0,320.0,352.0,192.0,3057.0,7040.0,5936.0,2304.0,123.8472,238.3232,698.9935999999999,421.0559999999999,1.0,8.0,4.0,4.0,2.0164000000000004,8.2928,4.373599999999998,4.373599999999998,64.0,128.0,96.0,96.0,2401.0,3136.0,1176.0,1176.0,3.1684,48.985599999999984,18.156,18.156,19.5,40.0,61.0,73.0,9.265300000000002,20.774600000000003,30.290500000000005,32.1839,101.0,246.0,337.0,335.0,749.0,1356.0,2044.0,2085.0,139.8876,269.4840000000001,418.5889,476.4518
ABEXIQ_clean,341.9411506,train,4.80529,4.08045,4.80529,1.7876,610.292,341.403,0.2087,0.1167487133586932,0.2087,0.0,0.116749,0.0,543.161,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629629,0.0828148148148147,0.0,-2.0,-1.7185185185185186,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666668,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.151777777777778,0.7894074074074076,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.5412318518518519,0.7289903703703705,1.3483333333333336,1.336423703703704,1.8444444444444448,5.533333333333333,7.940740740740741,6.303703703703705,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.597111111111104,90.10703703703702,135.0922913481481,116.67740245925926,11.104,10.666933333333333,23.65348148148148,24.75479111111111,0.0,0.0,0.0,0.0,0.0,6.709999999999999,8.169999999999996,12.239999999999998,0.0,39.5,43.0,69.0,0.0,377.0,494.0,673.0,0.0,-16.599999999999998,-13.585,-23.765,18.0,40.0,84.0,116.0,12.3454,32.33940000000001,59.51779999999998,65.72720000000001,124.0,354.0,547.0,406.0,4156.0,7808.0,10238.0,5364.0,146.59614999999997,253.523,725.8484,981.9539999999996,1.0,7.5,9.5,13.0,2.6569,8.98945,11.92345,14.5885,56.5,128.0,214.5,218.5,3364.0,3364.0,3306.0,4698.0,1.2544000000000002,28.000000000000004,27.132000000000005,42.92400000000001,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.831,11.893933333333337,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
ACAJIZ_clean,258.3238636,train,6.1865,5.74044,6.1865,1.30148,841.351,646.458,0.2606,0.2002335802317361,0.2606,0.0,0.200234,0.0,380.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0399999999999999,0.1119999999999999,0.692,0.0,-2.0,-2.4,-2.2,0.0,2.0,4.4,15.4,0.0,-6.360000000000001,-5.202844000000001,-3.154220000000001,0.0,0.908,1.2440000000000002,3.1300000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,2.4,3.0,0.53882,0.6806800000000001,1.218,1.10834,1.6,4.8,7.2,6.8,61.0,55.2,109.2,62.4,33.42399999999999,81.35999999999999,117.17304560000002,116.1973384,11.3152,10.118399999999998,22.26048,23.352000000000004,0.0,0.0,0.0,0.0,0.0,3.2299999999999995,3.6599999999999993,8.279999999999998,0.0,14.0,12.0,28.0,0.0,106.0,138.0,278.0,0.0,-7.300000000000001,-3.9,-10.660000000000002,20.0,44.0,76.0,112.0,13.940199999999995,33.87200000000001,53.686799999999984,70.3264,120.0,308.0,428.0,512.0,2580.0,5628.0,7264.0,8224.0,172.39199999999997,330.04799999999994,688.2868,930.3679999999996,1.0,5.0,6.0,12.0,1.9044,5.064599999999999,6.3756,11.4264,25.0,55.0,90.0,160.0,841.0,1131.0,1044.0,2030.0,3.61,31.92,29.07,63.574,18.666666666666668,36.66666666666666,61.333333333333336,76.66666666666667,7.239200000000001,16.606333333333335,23.691466666666667,24.655933333333337,98.0,240.0,301.3333333333333,283.3333333333333,475.3333333333333,920.0,1218.6666666666667,1016.0,124.12233333333332,239.58100000000005,393.9202666666668,471.37500000000006
ACAJOF_clean,218.0584924,test,6.86398,6.10482,6.86398,1.21871,971.36,797.038,0.2834,0.2325409654470711,0.2834,0.0,0.23254,0.0,904.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,0.6999999999999998,0.0,-2.0,-2.0,-1.6666666666666667,0.0,2.0,6.0,15.0,0.0,-6.6000000000000005,-4.671406666666667,-2.3142200000000006,0.0,0.9200000000000004,1.4800000000000002,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.6666666666666665,3.0,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.1123666666666667,2.0,6.0,8.666666666666666,7.333333333333333,59.0,60.0,107.33333333333331,61.333333333333336,36.98,95.67333333333332,136.63507600000003,121.88532000000002,10.9696,11.015999999999998,23.36373333333333,22.98133333333333,0.0,0.0,0.0,0.0,0.0,3.23,3.66,8.28,0.0,14.0,12.0,28.0,0.0,106.0,138.0,278.0,0.0,-7.299999999999999,-3.899999999999999,-10.66,20.0,44.0,76.0,112.0,13.940199999999995,33.872000000000014,53.686799999999984,70.3264,120.0,308.0,428.0,512.0,2580.0,5628.0,7264.0,8224.0,172.39199999999997,330.04799999999994,688.2868,930.3679999999996,1.0,5.0,6.0,12.0,1.9044,5.064599999999999,6.3756,11.4264,25.0,55.0,90.0,160.0,841.0,1131.0,1044.0,2030.0,3.61,31.919999999999995,29.07,63.574000000000005,19.666666666666668,38.66666666666666,65.33333333333333,82.66666666666667,7.528100000000002,17.38146666666667,24.93773333333333,26.176,104.0,256.0,323.3333333333333,306.6666666666667,488.0,952.0,1259.3333333333333,1058.6666666666667,129.51649999999998,251.39600000000007,416.4419333333333,503.5766666666668
ACAKUM_clean,401.0222082,train,4.47083,3.0099,4.47083,1.59028,0.0,0.0,0.1291,0.0811806725859597,0.0,0.1291,0.0,0.0811808,0.0,287.5,0.0,0.0,0.0,0.0,0.0,0.0299999999999999,0.0166666666666666,0.2433333333333332,0.0,-0.8333333333333334,-1.3333333333333333,-1.6666666666666667,0.0,2.6666666666666665,3.333333333333333,8.666666666666666,0.0,-4.817851666666668,-7.717851666666668,-9.789258333333336,0.0,0.8966666666666668,1.2383333333333335,2.391666666666667,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,1.0,1.8333333333333333,2.833333333333333,3.333333333333333,0.5476999999999999,0.9898166666666668,1.55125,1.6583666666666668,3.8333333333333335,9.666666666666666,14.833333333333334,16.333333333333332,56.5,79.0,129.5,117.0,41.425,112.24294716666668,179.29543566666666,211.5363565,10.5376,15.6844,24.834,26.12,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,4.8,3.68,6.56,0.0,15.0,8.0,18.0,0.0,245.0,204.0,351.0,0.0,-11.7,-5.799999999999999,-12.82,18.0,40.0,60.0,68.0,14.598599999999998,35.916000000000004,44.2684,43.59560000000001,108.0,272.0,316.0,288.0,7354.0,10080.0,8288.0,6528.0,159.771,251.1200000000001,565.5584,556.5919999999999,1.0,5.0,4.0,7.0,2.8561,6.1685,5.2052,8.906299999999998,25.0,50.0,60.0,85.0,3249.0,2280.0,1368.0,2736.0,1.2100000000000002,18.92,11.22,22.572000000000003,37.0,78.0,120.0,152.0,17.718100000000003,40.58180000000001,60.61320000000002,70.28920000000002,198.0,492.0,712.0,784.0,1315.0,2612.0,3960.0,4176.0,278.1586,551.5964000000001,860.112,1042.485
ACALIB_clean,278.7097806,train,3.96462,2.41854,3.93898,1.78668,0.0,0.0,0.0294,0.0164551010813352,0.0,0.0294,0.0,0.0164551,0.0,61.3741,0.0,0.0,0.0,0.0,0.0,0.0299999999999999,0.0166666666666666,0.2433333333333332,0.0,-0.8333333333333334,-1.3333333333333333,-1.6666666666666667,0.0,2.6666666666666665,3.333333333333333,8.666666666666666,0.0,-4.817851666666668,-7.717851666666668,-9.789258333333336,0.0,0.8966666666666668,1.2383333333333335,2.391666666666667,0.0,0.0,0.0,0.0,0.0,-0.02,-0.0333333333333333,0.0666666666666666,0.0,-1.0,-1.6666666666666667,-2.6666666666666665,0.0,1.0,1.6666666666666667,5.0,0.0,-3.0,-5.000000000000001,-7.735703333333334,0.0,0.445,0.7416666666666668,1.6000000000000003,1.0,1.8333333333333333,2.833333333333333,3.333333333333333,0.5476999999999999,0.9898166666666668,1.55125,1.6583666666666668,3.8333333333333335,9.666666666666666,14.833333333333334,16.333333333333332,56.5,79.0,129.5,117.0,41.425,112.24294716666668,179.29543566666666,211.5363565,10.5376,15.684399999999998,24.834,26.12,1.0,1.3333333333333333,2.0,2.333333333333333,0.5428999999999999,0.7546,1.1101333333333332,1.2294333333333334,2.333333333333333,5.0,6.333333333333333,9.0,59.333333333333336,62.0,105.33333333333331,94.0,44.69,91.15333333333336,115.88,159.35678099999998,10.945083333333333,11.317749999999998,19.33883333333333,18.6575,0.0,0.0,0.0,0.0,0.0,5.48,3.52,7.159999999999999,0.0,22.0,12.0,28.0,0.0,362.0,248.0,490.0,0.0,-12.31,-5.239999999999999,-13.150000000000002,20.0,48.0,80.0,80.0,15.5172,42.7856,55.01759999999999,50.47680000000001,156.0,456.0,432.0,360.0,10176.0,13616.0,10304.0,7664.0,173.43119999999996,299.4099999999999,746.7103999999999,638.4748,1.0,6.0,4.0,8.0,2.7225,7.292999999999999,5.082,9.966,36.0,84.0,72.0,120.0,4624.0,3128.0,1632.0,3672.0,1.5376,24.49,12.648,28.6068,37.0,78.0,120.0,152.0,17.718100000000003,40.58180000000001,60.61320000000002,70.28920000000002,198.0,492.0,712.0,784.0,1315.0,2612.0,3960.0,4176.0,278.1586,551.5964000000001,860.112,1042.485
