MOF_name,data_set,split,water_label,4_class_water_label,acid_label,base_label,boiling_label,Di,Df,Dif,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
VEQBID,WS24s,train,1,3,0,0,0,6.52256,4.921,6.52175,1787.61,1223.19,0.3661,0.250508064,0.3661,0.0,0.250508,0.0,-0.02,-0.02,0.34,-1.0,-1.5,-1.5,1.0,1.0,8.0,-3.0,-3.0,-2.20711,0.445,0.445,1.685,-0.0355,0.0455,0.5315,-2.225,-3.45,-2.775,1.775,3.35,12.175,-5.5275,-5.75409975,-3.3535205,0.8,1.09925,2.542,0.5,0.5,1.0,1.5,0.26645,0.28105,0.5475,0.55115,0.5,1.5,2.5,3.0,32.0,24.0,56.0,32.0,14.045,29.945,43.99,53.832683,5.9168,4.386,10.3028,11.954,1.0,2.225,3.45,0.53956,0.565565,1.1709375,1.4803,1.0,3.225,5.675,6.225,60.625,46.65,107.275,109.0,34.09075,65.22925,113.3178382,141.8123776,11.2504,8.5425,20.96254,29.28874,2.864,4.464,9.336,17.6,27.6,59.2,120.8,181.2,398.0,-8.86,-3.884,-24.736,188.0,496.0,1176.0,2064.0,106.3228,335.256,730.4056,1205.6112,1736.0,5856.0,12104.0,18368.0,22328.0,61312.0,128552.0,184432.0,1483.898,3540.176,10033.248,15550.624,6.0,10.8,19.2,1.4641,5.31916,10.41084,16.81416,36.0,110.4,223.2,336.0,784.0,1321.6,3393.6,3908.8,3.6481,38.8112,46.81792,117.28928,12.0,22.0,36.0,42.0,5.4764,10.9186,15.5576,15.6358,58.0,136.0,144.0,98.0,452.0,720.0,1040.0,928.0,97.106,158.355,264.9044,311.1034
HEBGUS,WS24s,train,1,3,0,0,0,4.6649,2.40647,4.66274,0.0,0.0,0.0725,0.048039969,0.0,0.0725,0.0,0.04804,0.02,0.096,-0.084,-2.2,-1.4,-5.2,4.0,5.2,9.2,-7.029422,-6.450844,-20.685422,1.508,1.676,3.992,-0.04,0.036,0.156,-2.0,-2.0,-3.2,2.0,3.2,7.2,-6.36,-5.781422,-9.424266,0.908,1.076,2.124,1.0,1.4,3.4,3.4,0.51578,0.72386,1.69842,1.82958,2.6,8.0,10.8,15.8,74.6,61.4,202.2,164.6,22.14208,73.9281228,113.9308056,174.9953228,14.52064,12.5576,41.08816,31.8968,1.2,2.4,2.6,0.53882,0.68068,1.275,1.29686,1.6,4.8,7.2,8.8,61.0,55.2,117.6,97.8,33.424,81.36,121.4545228,149.2835684,11.3152,10.1184,22.7712,21.1488,2.63,2.94,6.46,14.0,12.0,30.0,96.0,126.0,248.0,-7.4,-4.02,-11.74,20.0,44.0,76.0,112.0,13.3066,32.1104,51.4692,68.9248,120.0,308.0,428.0,512.0,2356.0,5316.0,6976.0,7968.0,172.2408,328.704,687.0628,929.2672,5.0,6.0,12.0,1.5876,4.6242,5.8212,10.9116,25.0,55.0,90.0,150.0,729.0,1053.0,972.0,2052.0,3.5344,31.584,28.764,64.484,36.66666667,76.0,125.3333333,164.6666667,16.01593333,37.4532,58.18293333,70.23886667,201.3333333,505.3333333,729.3333333,850.0,1195.333333,2297.333333,3801.333333,4154.666667,274.8033333,523.3373333,917.1269333,1118.927667
UKUBIM,WS24s,train,1,3,0,0,0,7.24657,4.5792,7.24657,1676.0,1533.31,0.3754,0.343439518,0.3754,0.0,0.343439,0.0,-0.08,0.6,0.52,-3.0,-2.0,-6.0,4.0,20.0,24.0,-12.0,-16.41422,-28.41422,1.78,5.15,6.93,-0.04,0.72,0.74,-2.0,0.0,1.0,2.0,14.0,13.0,-7.8,-2.01422,1.88578,0.98,2.66,2.17,1.0,2.0,5.0,7.0,0.5329,1.1242,2.2265,3.3507,4.0,14.0,24.0,40.0,64.0,96.0,160.0,256.0,28.09,119.78,227.445366,347.225366,11.8336,17.544,41.452,58.996,2.0,4.0,3.0,0.5625,1.155,1.71,1.1325,4.0,12.0,16.0,10.0,49.0,84.0,98.0,56.0,54.76,167.24,233.945228,150.325228,9.2416,15.504,28.88,21.128,3.84,7.9,14.56,20.0,34.0,64.0,228.0,430.0,712.0,-7.18,-7.9,-10.96,17.0,32.0,58.0,100.0,11.5382,25.668,46.238,58.8024,90.0,248.0,340.0,264.0,3302.0,6496.0,7980.0,5264.0,114.8353,205.2776,385.5472,712.336,6.0,10.0,16.0,2.1904,7.4592,10.212,13.4976,36.0,96.0,156.0,192.0,2304.0,2880.0,2400.0,2688.0,2.8561,29.2708,41.912,64.22,57.0,120.0,196.0,248.0,22.4897,55.6248,81.6516,93.6808,316.0,784.0,1112.0,1232.0,1376.0,3168.0,4328.0,4624.0,363.0233,793.764,1298.546,1606.852
KIYHOR,WS24s,train,1,3,0,0,0,3.17197,1.36083,3.16882,0.0,0.0,0.0213,0.01416506,0.0,0.0213,0.0,0.014165,-0.05,0.33,0.89,-1.0,1.0,2.0,2.5,8.5,18.0,-8.85,-5.95711,-1.767775,1.18,2.02,3.435,-0.04,0.35,0.52,-2.0,-1.5,-1.0,2.0,7.5,11.5,-6.9,-2.05711,-2.710665,0.935,1.53,2.35,1.0,2.0,4.0,4.0,0.5477,1.1473,1.9725,1.5449,5.0,15.0,22.0,16.0,56.5,87.0,150.5,84.5,41.425,155.375,230.152614,187.481604,10.5376,16.014,33.2396,29.738,1.5,3.0,2.5,0.5477,0.85855,1.395,0.97865,2.5,7.5,10.5,6.5,56.5,66.0,108.5,56.5,41.425,113.565,146.532614,112.31899,10.5376,12.138,25.4876,19.174,3.12,3.92,9.85,21.0,24.0,57.0,117.0,168.0,340.0,-8.16,-5.36,-10.31,15.0,30.0,52.0,78.0,9.617,21.4914,35.508,44.3982,86.0,236.0,300.0,214.0,1356.0,3222.0,4494.0,3528.0,118.78,218.7504,430.407,647.496,6.0,8.0,15.0,1.5876,5.5944,7.7616,11.403,36.0,90.0,144.0,198.0,729.0,1215.0,1296.0,1755.0,3.5344,36.5472,38.352,72.3988,27.5,58.0,93.0,111.0,11.53355,27.874,41.2997,43.5109,151.0,376.0,533.0,548.0,735.0,1626.0,2305.0,2056.0,181.07325,387.1155,621.595,705.391
CUTKUY,WS24s,train,1,3,0,0,0,1.80912,0.9211,1.4074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,0.32,-2.0,-2.0,-2.0,2.0,2.0,9.0,-6.0,-6.0,-5.20711,0.89,0.89,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5329,0.5621,1.095,0.8322,1.0,3.0,4.0,4.0,64.0,48.0,112.0,56.0,28.09,59.89,87.98,83.777683,11.8336,8.772,20.6056,16.34,2.84,1.34,1.34,8.0,2.0,2.0,296.0,152.0,152.0,-4.44,-0.44,-0.44,7.0,16.0,16.0,8.0,5.391,12.9064,10.83,4.4968,40.0,96.0,80.0,32.0,7052.0,5632.0,2736.0,384.0,65.7683,134.2976,165.7692,70.176,4.0,2.0,2.0,2.0736,4.2048,2.2176,2.2176,16.0,32.0,24.0,24.0,6724.0,2624.0,984.0,984.0,5.4289,32.0608,11.883,11.883,24.0,48.0,72.0,90.0,10.3416,23.2848,32.3464,34.5642,120.0,288.0,376.0,394.0,696.0,1344.0,1840.0,1632.0,164.0844,315.996,479.1004,562.905
YACWAC,WS24s,train,1,3,0,0,0,6.58011,5.59123,6.58011,1647.0,1557.29,0.3818,0.361006051,0.3818,0.0,0.361005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066666667,1.453333333,1.466666667,-4.0,10.66666667,12.0,3.333333333,27.33333333,26.66666667,-11.8,-0.22844,3.57156,1.573333333,4.933333333,4.546666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.666666667,7.333333333,5.666666667,0.542766667,1.529733333,2.995,2.046966667,12.66666667,90.0,146.6666667,72.0,59.0,116.0,186.6666667,108.3333333,36.98,207.1666667,359.3037893,231.5171227,10.9696,21.352,55.99306667,41.52853333,2.88,5.4,19.0,10.0,-6.0,38.0,111.0,240.0,676.0,-8.55,-9.0,-22.76,28.0,96.0,172.0,238.0,18.3068,63.4288,115.5948,152.1614,388.0,1612.0,2624.0,2498.0,2986.0,7752.0,13312.0,17138.0,222.637,671.37,1290.4948,1831.5692,5.0,10.0,26.0,1.7161,4.8077,10.087,19.7286,25.0,75.0,280.0,460.0,900.0,1170.0,1800.0,3120.0,2.7225,27.72,42.075,108.339,44.66666667,121.3333333,236.0,318.0,17.7906,54.43506667,93.49186667,106.027,472.0,2026.666667,3522.666667,3241.333333,1038.0,2853.333333,4432.0,4387.333333,275.454,759.3633333,1447.9676,1845.123733
KAXQOR,WS24s,train,0,2,0,0,0,4.50512,4.04434,4.50385,636.143,409.456,0.1493,0.096097526,0.1493,0.0,0.0960975,0.0,0.395,0.46,1.72,2.5,0.0,4.0,14.0,22.0,54.0,15.15,10.2,33.98578,-0.4,0.95,2.6,-0.09,-0.048,-0.096,-2.2,-2.4,-4.8,0.0,2.4,4.8,-7.62,-7.2,-14.4,0.884,1.068,2.136,1.0,2.5,3.5,6.0,0.78665,1.9023,2.39935,3.4498,8.5,18.0,27.5,38.0,160.0,288.0,272.0,320.0,202.225,373.45,512.375,733.095868,9.245,19.8918,27.8468,42.054,1.0,2.2,2.4,0.5329,0.5986,1.20742,1.34904,1.0,3.2,4.6,7.2,64.0,64.0,121.6,115.2,28.09,68.476,99.958,143.736,11.8336,8.79264,22.36,21.0528,5.88,3.51,9.6,22.0,11.0,36.0,72.0,46.0,130.0,-14.64,-6.23,-19.95,18.0,44.0,76.0,84.0,15.6296,41.9312,59.5336,61.8456,140.0,416.0,546.0,456.0,2096.0,5120.0,7232.0,7424.0,159.6588,258.4128,729.2688,653.6,6.0,5.0,10.0,2.9241,7.4898,8.6184,12.825,36.0,84.0,114.0,144.0,400.0,960.0,1080.0,1400.0,1.0,20.64,11.23,29.95,29.0,60.0,96.0,124.0,13.6336,31.7764,47.7496,56.382,156.0,388.0,552.0,604.0,1152.0,2384.0,3336.0,3688.0,207.413,403.8228,664.5906,823.934
ROQDIM04,WS24s,train,0,2,0,0,0,5.29945,2.73341,5.29944,0.0,0.0,0.4233,0.414776346,0.0,0.4233,0.0,0.414776,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.5625,1.125,0.0,0.0,4.0,4.0,0.0,0.0,49.0,98.0,0.0,0.0,54.76,109.52,0.0,0.0,9.2416,18.4832,0.0,0.0,1.0,1.0,0.0,0.5625,0.5625,0.5625,0.0,1.0,2.0,1.0,0.0,49.0,49.0,49.0,0.0,54.76,54.76,54.76,0.0,9.2416,9.2416,9.2416,0.0,3.9,3.9,3.9,24.0,24.0,24.0,69.0,69.0,69.0,-9.96,-9.96,-9.96,13.0,24.0,42.0,60.0,8.7325,19.35,29.475,33.75,66.0,168.0,192.0,120.0,986.5,2142.0,3024.0,2940.0,113.0061,161.2416,327.5904,554.496,6.0,6.0,6.0,1.9825,6.3,6.3,6.3,36.0,72.0,72.0,72.0,398.5,777.0,777.0,777.0,2.1069,25.1712,25.1712,25.1712,3.0,4.0,2.0,0.0,1.6875,2.25,1.125,0.0,6.0,8.0,2.0,0.0,147.0,196.0,98.0,0.0,27.7248,36.9664,18.4832,0.0
UiO-66-DM,WS14s,train,1,3,1,0,0,7.58487,2.88023,7.58487,956.74,702.328,0.3503,0.257149988,0.2235,0.1268,0.164068,0.0930819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,-2.0,-2.0,-4.0,2.0,2.0,4.0,-6.0,-6.0,-12.0,0.89,0.89,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5329,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.772,20.6056,17.544,6.48,5.42,19.28,42.0,34.0,134.0,256.0,214.0,776.0,-16.88,-6.62,-47.08,54.0,152.0,432.0,672.0,38.9448,137.0648,306.5664,470.5872,632.0,2336.0,4812.0,6360.0,12084.0,33088.0,72384.0,91776.0,486.6786,920.8192,4251.5592,4714.176,8.0,10.0,24.0,2.3716,8.9936,15.3692,27.2272,64.0,176.0,368.0,464.0,1600.0,2560.0,7440.0,7360.0,1.7689,36.6016,26.4936,105.07,22.0,44.0,72.0,82.0,9.1558,20.9132,30.5704,35.805,116.0,276.0,376.0,442.0,624.0,1200.0,1780.0,1944.0,151.0794,289.986,469.8604,533.817
HEBJOP,WS24s,train,1,3,0,0,0,4.16667,1.37706,4.12347,0.0,0.0,0.0861,0.053595438,0.0,0.0861,0.0,0.0535953,-0.023333333,0.29,0.483333333,-1.333333333,-1.0,-3.75,3.25,10.5,15.41666667,-8.233925833,-10.60711,-13.54459083,1.305,2.8425,3.981666667,-0.04,0.213333333,0.193333333,-2.0,-1.333333333,-2.333333333,2.0,6.0,7.0,-6.6,-4.671406667,-7.371406667,0.92,1.48,1.91,1.0,1.916666667,3.666666667,4.75,0.542766667,1.058291667,1.772266667,2.233108333,4.25,12.5,19.58333333,26.66666667,59.0,87.0,136.6666667,156.0,36.98,117.9889736,194.0743497,265.4237854,10.9696,16.5292,31.21566667,37.814,1.333333333,2.666666667,2.333333333,0.542766667,0.759733333,1.3,1.126966667,2.0,6.0,8.0,7.333333333,59.0,60.0,107.3333333,82.66666667,36.98,95.67333333,136.635076,129.9617427,10.9696,11.016,23.36373333,18.73866667,4.05,3.83,8.77,31.0,30.0,71.0,141.0,152.0,319.0,-9.28,-4.34,-13.94,24.0,56.0,120.0,172.0,13.8542,37.5668,70.0074,89.9048,192.0,608.0,888.0,824.0,2360.0,6160.0,9566.0,8844.0,191.6008,396.5728,1038.042,1330.5472,7.0,8.0,15.0,1.5876,6.0102,7.875,12.7638,49.0,126.0,182.0,238.0,729.0,1296.0,1728.0,2322.0,3.5344,42.1872,36.4344,79.2232,29.33333333,69.33333333,112.0,144.6666667,12.3992,33.29546667,49.03386667,56.86726667,220.0,738.6666667,970.0,1014.666667,823.6666667,1938.0,2756.0,2885.333333,198.5373667,461.7574,745.01,926.5123333
