CifId,GroundTruth,Predicted,Prob
IQECIS,1.0,1,0.99988973
AVUHOP,1.0,1,0.9998061
YEZKIZ,1.0,1,0.9822916
ASOYOY,1.0,1,0.99976116
UZIGOB,1.0,1,0.9982991
BUNKUS,1.0,1,0.9952479
OHUMEL,1.0,1,0.9992905
TOVGAO,1.0,1,0.9999475
XANZAQ,1.0,1,0.99989396
MERLAZ,1.0,1,0.9684652
OLEYEL,1.0,1,0.9999381
TOVGES,1.0,1,0.9984233
ARUHUS,1.0,1,0.9837519
HUFKOK,1.0,1,0.9998119
HAJQUH,1.0,1,0.9989859
PORLAL,1.0,1,0.9999746
UQEGII,1.0,1,0.9998361
LaBTB,1.0,1,0.9992326
Pb2_PTPTP_2_H2O_2,1.0,1,0.9999314
Pb2_p-PDA_PTPTP_2,1.0,1,0.99998367
FOTNIN,1.0,1,0.9970824
AVUJAD,1.0,1,0.9962082
ZULNAX,1.0,1,0.9998175
HADDOI,1.0,1,0.99996823
KUZYUB,1.0,1,0.968555
"UiO-2,6-NDC",1.0,1,0.99707735
KASDOA,1.0,1,0.9999564
AVUHUV,1.0,1,0.99964786
WUPTUY,1.0,1,0.96359473
PCN-56,1.0,1,0.99968433
mil-53-al,1.0,1,0.999996
AVUHIJ,1.0,1,0.99875915
LAFFEG,1.0,1,0.99978375
LATCAN,1.0,1,0.9999621
ZODXIB,1.0,1,0.9982263
AVUJEH,1.0,1,0.98460877
ZODXAT,1.0,1,0.99634856
AVUHEF,1.0,1,0.9990803
SALXEL,1.0,1,0.99982506
mil-53-cr,1.0,1,0.99996585
SAXLOU,0.0,0,5.570157e-06
QARCAP,0.0,0,0.019218532
NABMUA01,0.0,0,3.064715e-05
BUQWER,0.0,0,5.1547846e-05
UFASAW,0.0,0,8.1568665e-05
MIYGUX,0.0,0,8.9784684e-05
Cu2_TCMBT_BPP_mu3-OH,0.0,0,0.0454251
mil-101-no2,0.0,0,0.19302133
UNINIP,0.0,0,0.00037495635
UKUBIM,0.0,0,0.0012031924
VEMHIF,0.0,0,0.14557286
HUVHOX,0.0,0,0.00033206254
TEYHIP,0.0,0,0.0062400955
MAKFAI,0.0,0,0.005313239
ZODXEX,0.0,0,1.5979136e-05
SEFPAV,0.0,0,6.4596284e-06
KEWZAP,0.0,0,0.0011390531
OTODOS,0.0,0,0.00014581083
OLUGUZ,0.0,0,0.49626634
KOMGAV,0.0,0,0.0011265235
XACFEN,0.0,0,0.00027737324
OHOLIH,0.0,0,0.0048318254
ELOZUC,0.0,0,1.7734322e-06
POZKOF,0.0,0,0.00029481688
WASNUA,0.0,0,0.00017524604
UKUCAF,0.0,0,0.0013319798
XUMFIW,0.0,0,3.6431993e-05
DAFYOB,0.0,0,6.084038e-06
SIFVOU,0.0,0,0.019769287
NIZNOB,0.0,0,0.0014295112
VOCQAF,0.0,0,0.00019187266
WUPVAG,0.0,0,0.033693198
HEBJEF,0.0,0,0.0021317976
Zn-slash-Co-BTEC,0.0,0,0.0034685154
Ni-HF,0.0,0,0.09095381
SANHIB,0.0,0,0.015217272
ZZZRNQ02,0.0,0,7.6976187e-07
Co-NIC,0.0,0,0.0002466303
SANHAT,0.0,0,0.00069493864
LITHUR,0.0,0,0.0002014753
