CifId,GroundTruth,Predicted,Prob
KINKUP,1.0,1,0.9999815
TIZYIM,1.0,1,0.9998713
YUKBOX,0.0,0,0.017583633
NABNIO,1.0,1,0.9997168
Ni_HPTZ_2,1.0,1,0.9998619
GAZKOJ,0.0,0,1.2740894e-05
ROSCAD,1.0,1,0.9999616
ILOTOT,0.0,0,0.0014725586
UCEXAC,1.0,1,0.99856216
IRMOF-1-38,0.0,0,0.00055284676
Pb2_PTPTP_2_H2O_2,1.0,1,0.99988437
ZZZRNQ02,0.0,0,5.331123e-06
MOF-801-SC,1.0,1,0.9998993
WASPAI,1.0,1,0.9999295
XICXUE,0.0,0,0.0034532866
GUCTAB,1.0,1,0.99921966
RUWXEN,1.0,1,0.9997694
Zn-DMOF-TM,1.0,1,0.6113336
MAKFIQ,0.0,0,0.0011386416
UXOHOG,0.0,0,0.0007806996
HACRAH,0.0,0,0.00053329335
MONT1,1.0,1,0.99949795
ARAHIM02,1.0,1,0.9995395
DAFJOM,1.0,1,0.9997649
YEGTAG,0.0,0,0.00014598531
BUCVAY,1.0,1,0.999949
FUJCOC01,0.0,0,0.0002025617
OTENOR,1.0,1,0.99985254
BICPOT,0.0,0,5.5517576e-05
ZULNAX,1.0,1,0.99820596
LULWUL,0.0,0,3.8106505e-06
CUNGAU,0.0,0,0.005459825
FIVYOZ,0.0,0,0.0017977062
KOMFOI,1.0,1,0.9999807
MOF-805,0.0,0,0.016404048
AVUJIL,1.0,1,0.999894
AZAVII,0.0,0,0.003277118
KOMGOJ,1.0,1,0.9999864
IDIWUN,1.0,1,0.9996217
EPEXOO,0.0,0,0.002014438
CEHLAD,1.0,1,0.99993193
COWWOB,0.0,0,0.008636073
YUQNAB,1.0,1,0.99999774
"UiO-2,6-NDC",1.0,1,0.99997294
Al_OH_1-4-NDC,1.0,1,0.9999685
CAU-10-OH,1.0,1,0.9999911
AWIBEP,0.0,0,0.0050403136
RUYNIK,1.0,1,0.999877
TAFTOM,0.0,0,0.0010266668
UQOWUU,1.0,1,0.9999317
MIBMER,0.0,0,0.001481297
ODOXAG,0.0,0,0.0072243856
AlaZnCl,1.0,1,0.9999774
CUTKIM,1.0,1,0.9999925
UNABOB,0.0,0,0.0012606943
BIQHEQ,1.0,1,0.9999787
VOCKUT,0.0,0,0.4170262
DOFQUL,0.0,0,0.00038210396
KOMGAV,1.0,1,0.99997663
MUTMIX,0.0,0,0.0017206286
WUPTUY,1.0,1,0.99276805
EPEYAB,0.0,0,0.009757991
YOYPOT,1.0,1,0.99982125
EDOVIE,0.0,0,7.074593e-05
Zn-DMOF-A,1.0,1,0.97466373
TAQYER,0.0,0,0.013684435
OTEPEJ,1.0,1,0.99967957
BUQWER,0.0,0,0.21356232
VOFSOA,0.0,0,0.019685183
HIFGIO,1.0,1,0.9998913
ZOZHUT,1.0,1,0.99992925
WAZPOE,1.0,1,0.99965286
HISGAT,0.0,0,0.0022264146
SANHIB,1.0,1,0.99995804
