CifId,GroundTruth,Predicted,Prob
KINKUP,2.0,2,"[1.0778426258184481e-06, 4.399783574626781e-05, 0.9999427199363708, 1.2244247045600787e-05]"
TIZYIM,2.0,2,"[2.428955895084073e-06, 0.0003422335139475763, 0.999638020992279, 1.7378950360580347e-05]"
YUKBOX,1.0,1,"[0.00018547307990957052, 0.9908183217048645, 0.008932123892009258, 6.397753168130293e-05]"
NABNIO,2.0,2,"[6.778257102268981e-06, 0.0005110435304231942, 0.9993306398391724, 0.00015152530977502465]"
Ni_HPTZ_2,2.0,2,"[2.0119321106903953e-06, 0.00012453747331164777, 0.9998295903205872, 4.382417318993248e-05]"
GAZKOJ,1.0,1,"[1.1806684597104322e-05, 0.9999808073043823, 7.101939445419703e-06, 1.844233281644847e-07]"
ROSCAD,2.0,2,"[2.6941531814372865e-06, 0.00011730854021152481, 0.99959796667099, 0.0002819573855958879]"
ILOTOT,1.0,1,"[0.00017400883371010423, 0.999355673789978, 0.00042755110189318657, 4.271832585800439e-05]"
UCEXAC,2.0,2,"[3.338640817673877e-05, 0.0044088708236813545, 0.9952604174613953, 0.0002974222879856825]"
IRMOF-1-38,1.0,1,"[0.00016584953118581325, 0.9993518590927124, 0.00047395736328326166, 8.34954062156612e-06]"
Pb2_PTPTP_2_H2O_2,3.0,3,"[8.115787932183594e-05, 0.00020843416859861463, 0.0029201852157711983, 0.9967902302742004]"
ZZZRNQ02,0.0,0,"[0.9998552799224854, 0.00014411607116926461, 4.367405210814468e-07, 1.3348724792194844e-07]"
MOF-801-SC,2.0,2,"[3.2220861612586305e-05, 0.0001654826628509909, 0.999742865562439, 5.947686076979153e-05]"
WASPAI,2.0,2,"[6.719173597957706e-06, 0.00035961292451247573, 0.9992377161979675, 0.000395951239624992]"
XICXUE,1.0,1,"[0.00038732701796106994, 0.9963998794555664, 0.0031922408379614353, 2.0601044525392354e-05]"
GUCTAB,3.0,3,"[0.00014475906209554523, 0.0015543628251180053, 0.004511653445661068, 0.9937892556190491]"
